#DEPTH,lithology,lithology_CNN,CASE,Fluid_KNN
1546.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1546.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1546.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1546.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1546.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1546.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1547,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1547.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1547.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1547.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1547.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1547.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1547.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
